position	rank	score	title	year	genre	mpaa	imdb
1694		83.60000012	Nada (French-Italian)	1974	Thriller	N/A	http://www.imdb.com/title/tt0071890/
1695		83.60000009	Henry VIII and His Six Wives (British)	1973	Biographical	PG	http://www.imdb.com/title/tt0070170/
1696	1053	83.60000008	Mississippi	1935	Musical	N/A	http://www.imdb.com/title/tt0026723/
1697	1054	83.60000008	The Private Affairs of Bel Ami	1947	Drama	N/A	http://www.imdb.com/title/tt0066921/
1698		83.60000007	The Perfumed Nightmare (Filipino)	1977	Comedy-Drama	N/A	http://www.imdb.com/title/tt0076341/
1699		83.60000007	The Overlanders (Australian-British)	1946	Adventure	N/A	http://www.imdb.com/title/tt0038821/
1700	1055	83.60000006	The Great Man	1956	Drama	N/A	http://www.imdb.com/title/tt0049280/
1701		83.60000004	Beethoven's Great Love (French)	1936	Biography	N/A	http://www.imdb.com/title/tt0028438/
1702	1056	83.60000004	One Night of Love	1934	Musical	N/A	http://www.imdb.com/title/tt0025601/
1703	1057	83.60000004	The Great Chase	1963	Documentary	N/A	http://www.imdb.com/title/tt0057114/
1704	1058	83.60000003	Riding the Rails	1997	Documentary	N/A	http://www.imdb.com/title/tt0120017/
1705	1059	83.60000003	The Stranger's Return	1933	Drama	N/A	http://www.imdb.com/title/tt0024620/
1706		83.60000002	The Pedestrian (German)	1974	Drama	PG	http://www.imdb.com/title/tt0070086/
1707	1060	83.4000269	Back to the Future Part III	1990	Science Fiction	PG	http://www.imdb.com/title/tt0099088/
1708		83.40001027	Shadow of the Vampire (British)	2000	Drama	R	http://www.imdb.com/title/tt0033804/
1709	1061	83.40000939	Courage Under Fire	1996	Mystery	R	http://www.imdb.com/title/tt0115956/
1710	1062	83.4000093	48 Hrs.	1982	Action	R	http://www.imdb.com/title/tt0083511/
1711	1063	83.40000225	Fantastic Voyage	1966	Science Fiction	PG	http://www.imdb.com/title/tt0060397/
1712	1064	83.40000217	The Sugarland Express	1974	Crime Drama	PG	http://www.imdb.com/title/tt0059245/
1713	1065	83.40000146	The Greatest Show on Earth	1952	Drama	N/A	http://www.imdb.com/title/tt0044672/
1714	1066	83.40000124	Darby O'Gill and the Little People	1959	Fantasy	G	http://www.imdb.com/title/tt0052722/
1715	1067	83.40000067	Payday	1973	Drama	R	http://www.imdb.com/title/tt0069067/
1716	1068	83.40000053	The Teahouse of the August Moon	1956	Comedy	N/A	http://www.imdb.com/title/tt0049830/
1717		83.40000052	Insignificance (British)	1985	Comedy-Drama	R	http://www.imdb.com/title/tt0089343/
