position	rank	score	title	year	genre	mpaa	imdb
972		85.200001	Tristana (French-Spanish)	1970	Drama	PG	http://www.imdb.com/title/tt0066491/
973		85.20000088	Monsieur Hire (French)	1989	Crime Drama	PG-13	http://www.imdb.com/title/tt0097904/
974	586	85.20000088	Over the Edge	1979	Drama	PG	http://www.imdb.com/title/tt0079688/
975		85.20000085	Faithless (Swedish-German)	2000	Drama	R	http://www.imdb.com/title/tt0157122/
976		85.20000082	Diary of a Chambermaid (French)	1964	Drama	N/A	http://www.imdb.com/title/tt0058249/
977	587	85.20000079	The Gay Divorcee	1934	Musical	N/A	http://www.imdb.com/title/tt0025164/
978	588	85.20000077	Since You Went Away	1944	Drama	N/A	http://www.imdb.com/title/tt0037280/
979	589	85.20000074	A Thousand Clowns	1965	Comedy	N/A	http://www.imdb.com/title/tt0059798/
980	590	85.20000071	Crossfire	1947	Crime Drama	N/A	http://www.imdb.com/title/tt0039286/
981		85.20000067	The Magic Flute (Swedish)	1974	Opera	G	http://www.imdb.com/title/tt0073822/
982		85.20000064	Buffet Froid (French)	1979	Comedy	N/A	http://www.imdb.com/title/tt0078913/
983		85.20000062	Coup de Torchon (French)	1981	Drama	N/A	http://www.imdb.com/title/tt0082206/
984	591	85.20000061	They Live By Night	1949	Crime Drama	N/A	http://www.imdb.com/title/tt0040872/
985	592	85.20000058	Billy Budd (U.S.-British)	1962	Adventure	N/A	http://www.imdb.com/title/tt0055796/
986	593	85.20000058	Brother's Keeper	1992	Documentary	N/A	http://www.imdb.com/title/tt0103888/
987		85.20000057	The Nasty Girl (German)	1990	Comedy-Drama	PG-13	http://www.imdb.com/title/tt0100557/
988		85.20000055	The Milky Way (French)	1969	Drama	PG	http://www.imdb.com/title/tt0066534/
989	594	85.20000054	The Last Days	1999	Documentary	PG-13	http://www.imdb.com/title/tt0174852/
990		85.2000005	Lamerica (Italian-French)	1994	Drama	N/A	http://www.imdb.com/title/tt0110299/
991		85.20000047	I'm All Right Jack (British)	1959	Comedy	N/A	http://www.imdb.com/title/tt0052911/
992		85.20000047	Chloe in the Afternoon (French)	1972	Drama	R	http://www.imdb.com/title/tt0068205/
993		85.20000046	Man on the Roof (Swedish)	1977	Crime Drama	R	http://www.imdb.com/title/tt0074857/
994		85.20000044	Dark Eyes (Italian)	1987	Drama	N/A	http://www.imdb.com/title/tt0093664/
995	595	85.20000043	The Counterfeit Traitor	1962	Suspense	N/A	http://www.imdb.com/title/tt0055871/
996	596	85.20000042	Phantom Lady	1944	Suspense	N/A	http://www.imdb.com/title/tt0036260/
997	597	85.20000039	Bachelor Mother	1939	Comedy	N/A	http://www.imdb.com/title/tt0031067/
998		85.20000038	Genevieve (British)	1953	Comedy	N/A	http://www.imdb.com/title/tt0045808/
999	598	85.20000037	The Story of G.I. Joe	1945	Biography	N/A	http://www.imdb.com/title/tt0038120/
1000	599	85.20000035	The Corn is Green	1945	Drama	N/A	http://www.imdb.com/title/tt0037614/
1001	600	85.20000033	That's Entertainment! III	1994	Documentary	G	http://www.imdb.com/title/tt0111408/
1002	601	85.20000032	The Steel Helmet	1951	War Drama	N/A	http://www.imdb.com/title/tt0044072/
1003	602	85.20000031	Sitting Pretty	1948	Comedy	N/A	http://www.imdb.com/title/tt0040795/
1004		85.2000003	Morgan! (British)	1966	Comedy	N/A	http://www.imdb.com/title/tt0060714/
1005		85.20000025	Bread and Chocolate (Italian)	1978	Comedy-Drama	N/A	http://www.imdb.com/title/tt0070506/
1006		85.20000025	Hanussen (German-Hungarian)	1988	Drama	R	http://www.imdb.com/title/tt0095276/
1007	603	85.20000023	Queen Kelly (Silent)	1928	Adventure	N/A	http://www.imdb.com/title/tt0020298/
1008	604	85.20000021	Stars in My Crown	1950	Drama	G	http://www.imdb.com/title/tt0042998/
1009		85.20000018	Marianne and Juliane (German)	1982	Drama	N/A	http://www.imdb.com/title/tt0082081/
1010		85.20000018	Sugar Cane Alley (French)	1984	Drama	PG	http://www.imdb.com/title/tt0086213/
1011		85.20000017	The Man Who Could Work Miracles (British)	1936	Fantasy	N/A	http://www.imdb.com/title/tt0029201/
1012		85.20000016	South: Ernest Shackleton and the Endurance Expedition (British Silent)	1919	Documentary	N/A	http://www.imdb.com/title/tt0198559/
1013		85.20000015	The Small Back Room (British)	1949	Suspense	N/A	http://www.imdb.com/title/tt0041886/
1014		85.20000013	And Now My Love (French)	1975	Comedy-Drama	PG	http://www.imdb.com/title/tt0072307/
1015		85.20000012	Contraband (British)	1940	Suspense	N/A	http://www.imdb.com/title/tt0032356/
1016		85.20000011	A Woman's Tale (Australian)	1991	Drama	PG-13	http://www.imdb.com/title/tt0103282/
1017		85.20000009	Knife in the Head (German)	1978	Drama	N/A	http://www.imdb.com/title/tt0077924/
1018	605	85.20000008	Tillie and Gus	1933	Comedy	N/A	http://www.imdb.com/title/tt0024672/
1019		85.20000006	The Last Bridge (Austrian-Yugoslavian)	1954	War Drama	N/A	http://www.imdb.com/title/tt0047172/
1020		85.20000007	Enjo (Japanese)	1958	Drama	N/A	http://www.imdb.com/title/tt0051584/
1021		85.20000005	Devil in the Flesh (French)	1946	Drama	N/A	http://www.imdb.com/title/tt0038476/
1022		85.20000005	Confidence (Hungarian)	1979	War Drama	N/A	http://www.imdb.com/title/tt0078868/
1023	606	85.20000004	The Connection	1961	Drama	N/A	http://www.imdb.com/title/tt0054763/
1024	607	85.1020042	Dracula	1931	Horror	N/A	http://www.imdb.com/title/tt0021814/
1025	608	85.10200205	Kiss Me Deadly	1955	Crime Drama	N/A	http://www.imdb.com/title/tt0048261/
1026	609	85.1020011	Murder, My Sweet	1944	Crime Drama	N/A	http://www.imdb.com/title/tt0037101/
1027	610	85.03200402	An American in Paris	1951	Musical	N/A	http://www.imdb.com/title/tt0043278/
1028		85.00301527	The Road Warrior (Australian)	1981	Action	R	http://www.imdb.com/title/tt0082694/
1029	611	85.00300671	The King of Comedy	1983	Comedy	PG	http://www.imdb.com/title/tt0085794/
1030		85.00300042	Gaslight (British)	1940	Crime Drama	N/A	http://www.imdb.com/title/tt0031359/
1031	612	85.0000434	Apollo 13	1995	Adventure	PG	http://www.imdb.com/title/tt0112384/
1032	613	85.00002414	Raising Arizona	1987	Comedy	PG-13	http://www.imdb.com/title/tt0093822/
1033		85.00000569	Women on the Verge of a Nervous Breakdown (Spanish)	1988	Comedy	R	http://www.imdb.com/title/tt0095675/
1034	614	85.00000558	The Guns of Navarone	1961	War Drama	PG	http://us.imdb.com/title/tt0054953/
1035		85.00000538	Cyrano de Begerac (French)	1990	Action	PG	http://www.imdb.com/title/tt0099334/
1036	615	85.0000191	Leaving Las Vegas	1995	Drama	R	http://www.imdb.com/title/tt0113627/
1037		85.00001444	Shine (Australian)	1996	Biography	PG-13	http://www.imdb.com/title/tt0117631/
1038	616	85.00001005	Midnight Run	1988	Comedy	R	http://www.imdb.com/title/tt0095631/
1039	617	85.00000932	Roger & Me	1989	Documentary	R	http://www.imdb.com/title/tt0098213/
1040		85.00000928	White (French)	1993	Drama	R	http://www.imdb.com/title/tt0111507/
1041	618	85.00000908	Searching for Bobby Fischer	1993	Drama	PG	http://www.imdb.com/title/tt0108065/
1042	619	85.00000768	Malcolm X	1992	Biography	PG-13	http://www.imdb.com/title/tt0104797/
1043	620	85.00000666	The Purple Rose of Cairo	1985	Fantasy	PG	http://www.imdb.com/title/tt0089853/
1044	621	85.00000405	The King and I	1956	Musical	G	http://www.imdb.com/title/tt0049408/
1045		85.00000397	Oliver! (British)	1968	Musical	G	http://www.imdb.com/title/tt0063385/
1046		85.00000388	Zentropa (Danish-Swedish-French-German)	1992	Drama	R	http://www.imdb.com/title/tt0101829/
1047	622	85.00000387	Husbands and Wives	1992	Comedy-Drama	R	http://www.imdb.com/title/tt0104466/
1048	623	85.00000383	The Taking of Pelham One Two Three	1974	Crime Drama	R	http://www.imdb.com/title/tt0072251/
1049		85.00000374	Queen Margot (French-German-Italian)	1994	Biography	R	http://www.imdb.com/title/tt0110963/
1050		85.00000357	Live Flesh (Spanish-French)	1997	Drama	R	http://www.imdb.com/title/tt0118819/
1051		85.00000348	The Three Musketeers (British)	1974	Adventure	PG	http://www.imdb.com/title/tt0072281/
1052		85.00000273	To Sir, With Love (British)	1967	Drama	N/A	http://www.imdb.com/title/tt0062376/
1053		85.00000247	Un Coeur en Hiver (Winter)	1992	Drama	N/A	http://www.imdb.com/title/tt0105682/
1054	624	85.0000024	The Last Detail	1973	Comedy-Drama	R	http://www.imdb.com/title/tt0070290/
1055		85.00000236	Jesus of Montreal (Canadian-French)	1989	Drama	R	http://www.imdb.com/title/tt0097635/
1056		85.00000228	The Long Good Friday (British)	1980	Crime Drama	R	http://www.imdb.com/title/tt0081070/
1057	625	85.00000215	Seconds	1966	Science Fiction	R	http://www.imdb.com/title/tt0060955/
1058		85.00000211	Osama (Afghani-Dutch-Irish-Japanese-Iranian)	2003	Drama	PG-13	http://www.imdb.com/title/tt0368913/
1059	626	85.0000021	Suddenly, Last Summer	1959	Drama	N/A	http://www.imdb.com/title/tt0053318/
1060	627	85.00000209	Support Your Local Sheriff!	1969	Western	G	http://www.imdb.com/title/tt0065051/
1061	628	85.00000196	The Picture of Dorian Gray	1945	Fantasy	N/A	http://www.imdb.com/title/tt0037988/
1062		85.00000191	L'Avventura (French-Italian)	1960	Mystery	N/A	http://www.imdb.com/title/tt0053619/
1063		85.00000169	Proof (Australian)	1992	Comedy-Drama	R	http://www.imdb.com/title/tt0102721/
1064	629	85.00000163	Imitation of Life	1959	Drama	N/A	http://www.imdb.com/title/tt0052918/
1065	630	85.00000148	Waterloo Bridge	1940	Drama	N/A	http://www.imdb.com/title/tt0033238/
1066	631	85.00000147	Monsieur Verdoux	1947	Comedy	N/A	http://www.imdb.com/title/tt0039631/
1067	632	85.00000141	The Nun's Story	1959	Drama	N/A	http://www.imdb.com/title/tt0053131/
1068	633	85.00000139	Born Yesterday	1950	Comedy	N/A	http://www.imdb.com/title/tt0042276/
1069		85.00000137	Enchanted April (British)	1991	Drasma	PG	http://www.imdb.com/title/tt0101811/
1070	634	85.00000136	The Diary of Anne Frank	1959	Biography	N/A	http://www.imdb.com/title/tt0052738/
1071		85.00000134	Tous les Matins du Monde (French)	1991	Biography	N/A	http://www.imdb.com/title/tt0103110/
1072	635	85.00000134	After the Thin Man	1936	Mystery	N/A	http://www.imdb.com/title/tt0027260/
1073		85.00000134	Black Orpheus (French-Brazilian)	1959	Drama	PG	http://www.imdb.com/title/tt0053146/
1074	636	85.00000133	Easter Parade	1948	Musical	N/A	http://www.imdb.com/title/tt0040308/
1075	637	85.00000127	The Spiral Staircase	1946	Suspense	N/A	http://www.imdb.com/title/tt0038975/
1076	638	85.00000126	Vanya on 42nd Street	1994	Drama	PG	http://www.imdb.com/title/tt0111590/
1077		85.00000122	Curse of the Demon (British)	1958	Horror	N/A	http://www.imdb.com/title/tt0050766/
1078	639	85.00000122	Julius Caesar	1953	Drama	N/A	http://www.imdb.com/title/tt0045943/
1079	640	85.00000121	The Desperate Hours	1955	Crime Drama	N/A	http://www.imdb.com/title/tt0047985/
1080	641	85.00000119	Sahara	1943	War Drama	N/A	http://www.imdb.com/title/tt0036323/
1081		85.00000118	The Story of Qiu Ju (Chinese)	1992	Drama	PG	http://www.imdb.com/title/tt0105197/
1082	642	85.00000112	The Gunfighter	1950	Western	N/A	http://www.imdb.com/title/tt0042531/
1083	643	85.00000105	Heaven Can Wait	1943	Fantasy	N/A	http://www.imdb.com/title/tt0035979/
1084	644	85.00000104	A Star Is Born	1937	Drama	PG	http://www.imdb.com/title/tt0029606/
1085		85.00000102	A Time for Drunken Horses (Iranian)	1999	Drama	N/A	http://www.imdb.com/title/tt0259072/
1086	645	85.00000097	The Man Who Came to Dinner	1941	Comedy	N/A	http://www.imdb.com/title/tt0033874/
1087	646	85.00000096	People Will Talk	1951	Comedy-Drama	N/A	http://www.imdb.com/title/tt0043915/
1088	647	85.00000093	Young Mr. Lincoln	1939	Biography	N/A	http://www.imdb.com/title/tt0032155/
1089		85.0000009	La Belle Noiseuse (French)	1991	Drama	N/A	http://www.imdb.com/title/tt0101428/
1090	648	85.0000009	Babes in Toyland	1934	Fantasy	N/A	http://www.imdb.com/title/tt0024852/
1091		85.00000088	Bed and Board (French)	1970	Comedy-Drama	PG	http://www.imdb.com/title/tt0065651/
1092	649	85.00000085	Dead End	1937	Crime Drama	N/A	http://www.imdb.com/title/tt0028773/
1093	650	85.0000008	I Walked With a Zombie	1943	Horror	N/A	http://www.imdb.com/title/tt0036027/
1094	651	85.00000078	The Old Dark House	1932	Horror	N/A	http://www.imdb.com/title/tt0023293/
1095	652	85.00000076	Camille	1937	Drama	N/A	http://www.imdb.com/title/tt0028683/
1096	653	85.00000072	A Brief History of Time (U.S.-British)	1992	Documentary	G	http://www.imdb.com/title/tt0103882/
1097	654	85.00000071	The Razor's Edge	1946	Drama	N/A	http://www.imdb.com/title/tt0038873/
1098		85.0000007	It All Starts Today (French)	1999	Drama	N/A	http://www.imdb.com/title/tt0186730/
1099	655	85.00000069	The Harder They Fall	1956	Drama	N/A	http://www.imdb.com/title/tt0049291/
1100	656	85.00000067	The Major and the Minor	1942	Comedy	N/A	http://www.imdb.com/title/tt0035019/
1101		85.00000067	Claire's Knee (French)	1971	Drama	PG	http://www.imdb.com/title/tt0065772/
1102	657	85.00000064	Come Back, Little Sheba	1952	Drama	N/A	http://www.imdb.com/title/tt0044509/
1103	658	85.00000063	Gates of Heaven	1978	Documentary	N/A	http://www.imdb.com/title/tt0077598/
1104		85.00000062	Billy Liar (British)	1963	Drama	N/A	http://www.imdb.com/title/tt0056868/
1105	659	85.00000058	Wild River	1960	Drama	N/A	http://www.imdb.com/title/tt0054476/
1106	660	85.00000057	Watch on the Rhine	1943	Drama	N/A	http://www.imdb.com/title/tt0036515/
1107		85.00000055	Never on Sunday (Greek)	1960	Drama	N/A	http://www.imdb.com/title/tt0054198/
1108	661	85.00000055	A Foreign Affair	1948	Comedy	N/A	http://www.imdb.com/title/tt0040367/
1109		85.00000052	The Lost Honor of Katharina Blum (German)	1975	Drama	R	http://www.imdb.com/title/tt0073858/
1110		85.0000005	The Go-Between (British)	1970	Drama	PG	http://www.imdb.com/title/tt0067144/
1111	662	85.00000048	Smile	1975	Comedy	PG	http://www.imdb.com/title/tt0073722/
1112		85.00000046	The Golem (German Silent)	1920	Fantasy	N/A	http://www.imdb.com/title/tt0011237/
1113	663	85.00000045	Hell's Angels	1930	War Drama	N/A	http://www.imdb.com/title/tt0020960/
1114	664	85.00000043	Five Graves to Cairo	1943	War Drama	N/A	http://www.imdb.com/title/tt0035884/
1115	665	85.00000039	The Devil and Miss Jones	1941	Comedy	N/A	http://us.imdb.com/title/tt0033533/
1116	666	85.00000039	The Farmer's Daughter	1947	Comedy	N/A	http://www.imdb.com/title/tt0039370/
1117		85.00000038	Beau P�re (French)	1981	Comedy-Drama	N/A	http://www.imdb.com/title/tt0082054/
1118		85.00000035	The League of Gentlemen (British)	1960	Crime Drama	N/A	http://www.imdb.com/title/tt0052997/
1119	667	85.00000034	Ride the Pink Horse	1947	Crime Drama	N/A	http://www.imdb.com/title/tt0039768/
1120	668	85.00000033	Secret Honor	1984	Drama	N/A	http://www.imdb.com/title/tt0088074/
1121	669	85.0000003	Cluny Brown	1946	Comedy	N/A	http://www.imdb.com/title/tt0038419/
1122	670	85.00000029	Christmas in July	1940	Comedy	N/A	http://www.imdb.com/title/tt0032338/
1123	671	85.00000028	Why Worry? [Silent]	1923	Comedy	N/A	http://www.imdb.com/title/tt0014611/
1124	672	85.00000027	Man Hunt	1941	Suspense	N/A	http://www.imdb.com/title/tt0033873/
1125	673	85.00000027	If I Had a Million	1932	Comedy-Drama	N/A	http://www.imdb.com/title/tt0023049/
1126		85.00000026	Spies (German Silent)	1928	Suspense	N/A	http://www.imdb.com/title/tt0019415/
1127	674	85.00000026	The Citadel (U.S.-British)	1938	Drama	N/A	http://www.imdb.com/title/tt0029995/
1128		85.00000025	La Guerre Est Finie (French-Swedish)	1966	Drama	N/A	http://www.imdb.com/title/tt0060481/
1129	675	85.00000023	The Mark of Zorro (Silent)	1920	Adventure	N/A	http://www.imdb.com/title/tt0011439/
1130	676	85.00000022	Theodora Goes Wild	1936	Comedy	N/A	http://www.imdb.com/title/tt0028355/
1131	677	85.0000002	The Good Fairy	1935	Comedy	N/A	http://www.imdb.com/title/tt0026424/
1132		85.00000019	Wee Geordie (British)	1956	Comedy	N/A	http://www.imdb.com/title/tt0048112/
1133		85.00000019	Adventures of Robinson Crusoe (Mexican)	1952	Adventure	N/A	http://www.imdb.com/title/tt0044386/
1134	678	85.00000018	So Dear to My Heart	1949	Family	G	http://www.imdb.com/title/tt0041890/
1135	679	85.00000018	Death of a Salesman	1951	Drama	PG	http://www.imdb.com/title/tt0043458/
1136		85.00000018	The Edge of the World (British)	1937	Drama	N/A	http://www.imdb.com/title/tt0028818/
1137	680	85.00000016	On the Ropes	1999	Documentary	N/A	http://www.imdb.com/title/tt0181733/
1138		85.00000016	The Hasty Heart (British)	1949	Drama	N/A	http://www.imdb.com/title/tt0041445/
1139	681	85.00000016	Wattstax	1973	Documentary	R	http://www.imdb.com/title/tt0070902/
1140	682	85.00000015	Summer and Smoke	1961	Drama	N/A	http://www.imdb.com/title/tt0055489/
1141	683	85.00000015	The Breaking Point	1950	Adventure	N/A	http://www.imdb.com/title/tt0042281/
1142		85.00000014	Silas Marner (British)	1985	Drama	N/A	http://www.imdb.com/title/tt0090019/
1143		85.00000013	Toni (French)	1935	Drama	N/A	http://www.imdb.com/title/tt0025898/
1144		85.00000011	The Captive Heart (British)	1946	War Drama	N/A	http://www.imdb.com/title/tt0038396/
1145		85.00000011	The Devil's General (German)	1956	War Drama	N/A	http://www.imdb.com/title/tt0047572/
1146	684	85.0000001	A Great Day in Harlem	1994	Documentary	N/A	http://www.imdb.com/title/tt0109934/
1147		85.00000009	Hands Over the City (Italian)	1963	Drama	N/A	http://www.imdb.com/title/tt0057286/
1148	685	85.00000008	From Mao to Mozart: Isaac Stern in China	1980	Documentary	G	http://www.imdb.com/title/tt0080762/
1149	686	85.00000006	The Line King: The Al Hirschfeld Story	1996	Biography	N/A	http://www.imdb.com/title/tt0116886/
1150		85.00000006	La Symphonie Pastorale (French)	1946	Drama	N/A	http://www.imdb.com/title/tt0039004/
1151		85.00000005	I Sent a Letter to My Love (French)	1981	Drama	PG	http://www.imdb.com/title/tt0082182/
1152		85.00000005	Diamonds of the Night (Czech)	1964	War Drama	N/A	http://www.imdb.com/title/tt0058001/
1153	687	85.00000002	A Medal for Benny	1945	Comedy-Drama	N/A	http://www.imdb.com/title/tt0037906/
1154	688	84.90200136	Topper	1937	Fantasy	N/A	http://www.imdb.com/title/tt0029682/
1155	689	84.9020013	Jezebel	1938	Drama	N/A	http://www.imdb.com/title/tt0030287/
1156	690	84.80302939	Who Framed Roger Rabbit	1988	Fantasy	PG	http://www.imdb.com/title/tt0096438/
1157	691	84.8030088	Enter the Dragon	1973	Action	R	http://www.imdb.com/title/tt0070034/
1158	692	84.80300734	Lady and the Tramp	1955	Fantasy	G	http://www.imdb.com/title/tt0048280/
1159		84.80300467	Blowup (British-Italian)	1966	Drama	N/A	http://www.imdb.com/title/tt0060176/
1160	693	84.80300391	The Thing From Another World	1951	Science Fiction	N/A	http://www.imdb.com/title/tt0044121/
1161	694	84.80300134	Dark Victory	1939	Drama	N/A	http://www.imdb.com/title/tt0031210/
1162	695	84.8000618	Jurassic Park	1993	Science Fiction	PG-13	http://www.imdb.com/title/tt0107290/
1163	696	84.80004956	Shakespeare in Love	1998	Comedy-Drama	R	http://www.imdb.com/title/tt0138097/
1164	697	84.80002456	a bug's life	1998	Fantasy	G	http://www.imdb.com/title/tt0120623/
1165	698	84.8000187	Election	1999	Comedy-Drama	R	http://www.imdb.com/title/tt0126886/
1166	699	84.80001779	Cold Mountain (British-Romanian-Italian-U.S.)	2003	War Drama	R	http://www.imdb.com/title/tt0159365/
1167	700	84.80001363	Quiz Show	1994	Drama	PG-13	http://www.imdb.com/title/tt0128442/
1168	701	84.80001264	Awakenings	1990	Drama	PG-13	http://www.imdb.com/title/tt0099077/
1169		84.80001248	Excalibur (British)	1981	Fantasy	PG	http://www.imdb.com/title/tt0082348/
1170		84.80000636	The Commitments (British-Irish)	1991	Musical	R	http://www.imdb.com/title/tt0101605/
1171	702	84.80000539	Drugstore Cowboy	1989	Crime Drama	R	http://www.imdb.com/title/tt0097240/
1172		84.8000049	Shadowlands (British)	1993	Drama	PG	http://www.imdb.com/title/tt0108101/
1173	703	84.80000412	Play It Again, Sam	1972	Comedy	PG	http://www.imdb.com/title/tt0069097/
1174		84.80000405	Croupier (British-German)	1999	Drama	R	http://www.imdb.com/title/tt0159382/
1175		84.80000376	The Devil's Backbone (Spanish-Mexican)	2001	Horror	R	http://www.imdb.com/title/tt0256009/
1176	704	84.80000301	Them!	1954	Science Fiction	N/A	http://www.imdb.com/title/tt0047573/
1177		84.80000266	The Dreamlife of Angels (French)	1998	Drama	R	http://www.imdb.com/title/tt0120449/
1178	705	84.80000261	The Wolf Man	1941	Horror	N/A	http://www.imdb.com/title/tt0034398/
1179	706	84.80000258	Pillow Talk	1959	Comedy	N/A	http://www.imdb.com/title/tt0114746/
1180	707	84.80000249	Song of the South	1946	Musical	G	http://www.imdb.com/title/tt0038969/
1181		84.80000239	Hope and Glory (British)	1987	Comedy-Drama	PG-13	http://www.imdb.com/title/tt0093209/
1182	708	84.80000238	Point Blank	1967	Thriller	N/A	http://www.imdb.com/title/tt0062138/
1183	709	84.80000229	A Midnight Clear	1992	War Drama	R	http://www.imdb.com/title/tt0102443/
1184	710	84.80000217	Abbott and Costello Meet Frankenstein	1948	Comedy	N/A	http://www.imdb.com/title/tt0040068/
1185		84.8000019	A Taste of Cherry (Iranian)	1997	Drama	PG	http://www.imdb.com/title/tt0120265/
1186	711	84.8000019	Dogtown and Z-Boys	2002	Documentary	PG-13	http://www.imdb.com/title/tt0275309/
1187	712	84.80000187	Woman of the Year	1942	Comedy	N/A	http://us.imdb.com/title/tt0035567/
1188		84.80000169	The Story of the Weeping Camel (German-Mongolian)	2004	Documentary	PG	http://www.imdb.com/title/tt0245429/
1189		84.80000165	Macbeth (British)	1971	Action	R	http://www.imdb.com/title/tt0067372/
1190	713	84.80000163	Johnny Guitar	1954	Western	N/A	http://www.imdb.com/title/tt0047136/
1191	714	84.80000142	D.O.A.	1950	Suspense	N/A	http://www.imdb.com/title/tt0042369/
1192		84.80000141	Time Out (French)	2001	Drama	PG-13	http://www.imdb.com/title/tt0279065/
1193	715	84.80000139	Blackboard Jungle	1955	Drama	N/A	http://www.imdb.com/title/tt0047885/
1194		84.80000138	Together (Chinese-South Korean)	2002	Drama	PG	http://www.imdb.com/title/tt0332639/
1195		84.80000137	Les Mis�rables (French)	1995	Crime Drama	R	http://www.imdb.com/title/tt0113828/
1196	716	84.80000135	Testament	1983	Drama	PG	http://www.imdb.com/title/tt0086429/
1197	717	84.80000132	King of the Hill	1993	Drama	PG-13	http://www.imdb.com/title/tt0107322/
1198	718	84.80000131	84 Charing Cross Road	1987	Drama	PG	http://www.imdb.com/title/tt0090570/
1199	719	84.80000114	Targets	1968	Suspense	R	http://www.imdb.com/title/tt0063671/
1200	720	84.80000112	Little Caesar	1930	Crime Drama	N/A	http://www.imdb.com/title/tt0021079/
1201	721	84.80000109	The Naked Spur	1953	Western	N/A	http://www.imdb.com/title/tt0044953/
1202	722	84.80000106	The Three Faces of Eve	1957	Drama	N/A	http://www.imdb.com/title/tt0051077/
1203	723	84.80000104	Summertime	1955	Drama	N/A	http://www.imdb.com/title/tt0048673/
1204	724	84.80000095	San Francisco	1936	Drama	N/A	http://www.imdb.com/title/tt0028216/
1205		84.80000094	Jour de Fete (French)	1949	Comedy	N/A	http://www.imdb.com/title/tt0040497/
1206		84.80000087	The King of Masks (Chinese)	1997	Drama	N/A	http://www.imdb.com/title/tt0115669/
1207	725	84.80000087	Faces	1968	Drama	R	http://www.imdb.com/title/tt0062952/
1208	726	84.80000086	I Want to Live!	1958	Biography	N/A	http://www.imdb.com/title/tt0051758/
1209	727	84.80000085	Dark Days	2000	Documentary	N/A	http://www.imdb.com/title/tt0235327/
1210		84.80000084	Summer With Monika (Swedish)	1953	Drama	N/A	http://www.imdb.com/title/tt0046345/
1211	728	84.80000083	Off the Map	2003	Drama	PG-13	http://www.imdb.com/title/tt0332285/
1212	729	84.80000079	Kiss Me Kate	1953	Musical	N/A	http://www.imdb.com/title/tt0045963/
1213	730	84.80000072	No Time for Sergeants	1958	Comedy	N/A	http://www.imdb.com/title/tt0054215/
1214	731	84.80000072	The Red Badge of Courage	1951	War Drama	N/A	http://www.imdb.com/title/tt0110598/
1215		84.80000068	Dragons Forever (Hong Kong)	1987	Action	N/A	http://www.imdb.com/title/tt0093015/
1216		84.80000068	Passport to Pimlico (British)	1949	Comedy	N/A	http://www.imdb.com/title/tt0041737/
1217	732	84.80000067	Moulin Rouge	1952	Biography	N/A	http://www.imdb.com/title/tt0044926/
1218	733	84.80000067	Cyrano de Begerac	1950	Action	N/A	http://www.imdb.com/title/tt0042367/
1219	734	84.80000065	Objective, Burma!	1945	War Drama	N/A	http://www.imdb.com/title/tt0037954/
1220	734	84.80000064	Resurrection	1980	Fantasy	PG	http://www.imdb.com/title/tt0081414/
1221	735	84.80000061	Red Dust	1932	Drama	N/A	http://www.imdb.com/title/tt0023382/
1222	736	84.80000057	State of the Union	1948	Comedy-Drama	N/A	http://www.imdb.com/title/tt0040834/
1223		84.80000056	The Assault (Dutch)	1986	Drama	PG	http://www.imdb.com/title/tt0090576/
1224	737	84.80000055	Detective Story	1951	Crime Drama	N/A	http://www.imdb.com/title/tt0043465/
1225	738	84.80000054	Compulsion	1959	Crime Drama	N/A	http://www.imdb.com/title/tt0052700/
1226		84.80000053	Blind Spot: Hitler's Secretary (Austrian)	2002	Documentary	PG	http://www.imdb.com/title/tt0311320/
1227		84.8000005	A Taxing Woman (Japanese)	1987	Comedy	N/A	http://www.imdb.com/title/tt0093502/
1228	739	84.80000047	The Boys in the Band	1970	Comedy-Drama	R	http://www.imdb.com/title/tt0065488/
1229	740	84.80000047	Love Affair	1939	Comedy-Drama	N/A	http://www.imdb.com/title/tt0031593/
1230		84.80000045	Get Out Your Handkerchiefs (French-Belgian)	1978	Comedy	R	http://www.imdb.com/title/tt0078122/
1231		84.80000043	Lovers (Spanish)	1991	Crime Drama	R	http://www.imdb.com/title/tt0101317/
1232	741	84.80000043	Taking Off	1971	Comedy	R	http://www.imdb.com/title/tt0067820/
1233	742	84.80000042	The Star	1952	Drama	N/A	http://www.imdb.com/title/tt0045186/
1234	743	84.8000004	Images (U.S.-British)	1972	Drama	R	http://www.imdb.com/title/tt0068732/
1235		84.80000037	High Hopes (British)	1988	Comedy-Drama	PG	http://www.imdb.com/title/tt0095302/
1236	744	84.80000036	The Prince and the Pauper	1937	Adventure	N/A	http://www.imdb.com/title/tt0029440/
1237	745	84.80000036	Humoresque	1946	Drama	N/A	http://www.imdb.com/title/tt0038622/
1238	746	84.80000034	You Can't Cheat an Honest Man	1939	Comedy	N/A	http://www.imdb.com/title/tt0032152/
1239		84.80000032	La Femme Infid�le (French-Italian)	1969	Drama	R	http://www.imdb.com/title/tt0064323/
1240	747	84.80000031	I Love You Again	1940	Comedy	N/A	http://www.imdb.com/title/tt0032617/
1241	748	84.8000003	Command Decision	1948	War Drama	R	http://www.imdb.com/title/tt0040242/
1242	749	84.8000003	Larceny, Inc.	1942	Comedy	N/A	http://www.imdb.com/title/tt0034965/
1243	750	84.8000003	The Champ	1931	Drama	N/A	http://www.imdb.com/title/tt0021730/
